Household ID|Cable Status|Meter Status|Panelist Status|Number of Cats|Number of Dogs|Number of TVs|Residence Type|Residence Status|Residence Duration|Household Income|Number of Members in Household|Male Head Working Status|Male Head Average Working Hours|Male Head Occupation|Male Head Education|Male Head Spanish/Hispanic|Male Head Race|Female Head Working Status|Female Head Average Working Hours|Female Head Occupation|Female Head Education|Female Head Spanish/Hispanic|Female Head Race|Demographic Change Date|Washing Machine|Clothes Dryer|Dishwasher|Freezer|Toaster|Toaster Broiler Over|Blender|Food Processor|Microwave|Convection Oven|Coffee Maker|Trash Compactor|Garbage Disposal|Hair Dryer|Curling Iron|Hair Rollers|Vacuum Cleaner|Personal Computer|Water Softner|Other Appliances|VCR
01100198|0|0|01|00|00|01|1|2|6|02|01|0|00|00|00|0|0|7|00|00|05|0|1|      |2|0|0|0|2|0|0|0|0|0|2|0|0|0|0|0|2|0|0|0|0
01100206|1|0|09|00|00|02|1|2|3|02|01|0|00|00|00|0|0|7|00|00|05|0|1|      |0|0|0|0|2|0|2|0|2|0|2|0|0|0|2|0|2|0|0|0|0
01100214|1|0|09|01|00|03|3|2|1|02|02|1|40|02|04|0|1|1|40|02|05|0|1|      |2|2|0|0|2|0|0|0|2|0|2|0|0|2|2|2|2|0|0|0|0
01100222|0|0|01|00|00|04|3|1|6|08|06|1|50|08|11|0|1|2|25|08|10|0|1|      |2|2|2|2|2|2|2|2|0|0|0|0|0|2|2|2|2|2|2|0|1
01100230|1|0|09|00|00|02|3|1|2|07|03|1|48|07|10|0|1|1|40|08|11|0|1|      |2|2|2|2|2|2|2|2|2|2|2|0|0|2|2|2|2|0|0|0|0
01100248|1|0|09|01|00|02|3|2|4|09|01|3|40|06|08|0|1|0|00|00|00|0|0|      |2|2|0|0|2|0|2|0|2|0|2|0|0|2|0|0|2|0|0|0|0
01100255|1|1|01|00|00|04|3|1|8|02|01|0|00|00|00|0|0|7|00|00|03|0|1|      |2|2|0|0|2|0|2|0|2|0|2|0|0|2|0|0|2|0|0|0|0
01100263|1|1|01|00|00|02|4|1|8|02|01|0|00|00|00|0|0|3|25|06|08|0|1|      |2|0|0|0|2|0|0|2|0|2|2|0|0|0|0|0|2|0|0|0|0
01100271|0|0|09|00|00|01|1|2|5|02|01|7|00|00|04|0|1|0|00|00|00|0|0|      |0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0
01100289|0|1|01|00|00|02|3|1|8|03|02|7|00|00|09|0|1|7|00|00|05|0|1|      |2|0|0|0|2|2|0|0|0|0|0|0|0|2|2|0|2|0|0|0|0
01100297|0|1|01|00|00|03|3|1|8|07|02|3|20|05|05|0|1|3|12|05|05|0|1|      |2|2|0|2|2|2|2|2|2|0|2|0|2|2|2|0|2|0|2|0|0
01100313|1|0|01|00|01|02|3|1|2|06|03|0|00|00|00|0|0|1|40|08|08|0|1|      |2|2|2|0|2|0|2|0|2|0|2|0|2|2|2|0|2|0|2|0|1
01100321|1|0|05|00|01|03|3|1|5|02|02|7|00|00|02|0|1|4|28|06|05|0|1|      |2|2|0|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01100339|1|1|01|00|00|02|3|1|4|05|05|1|40|08|10|0|1|6|00|00|11|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|0|2|0|0|0|1
01100347|1|0|01|02|00|01|3|1|5|03|02|7|00|00|05|0|1|2|32|05|05|0|1|      |0|0|0|0|2|0|0|0|0|0|2|0|0|0|0|0|2|0|0|0|0
01100354|1|0|01|00|01|01|3|1|7|02|02|3|20|02|02|0|1|2|10|02|02|0|1|      |2|2|0|2|2|0|2|2|2|2|2|0|0|2|0|0|2|0|2|0|0
01100370|1|1|01|00|00|02|3|1|2|05|02|5|00|00|05|0|1|2|28|09|07|0|1|      |2|2|2|2|2|2|2|2|2|2|2|0|2|2|2|0|2|0|2|0|0
01100396|0|0|01|00|00|02|1|2|4|06|02|1|50|07|03|0|1|1|50|07|05|0|1|      |0|0|0|0|2|0|2|0|2|2|0|0|0|2|2|0|2|0|0|0|0
01100404|1|0|01|00|00|01|1|2|4|04|01|0|00|00|00|0|0|1|36|09|06|0|1|      |0|0|0|0|2|2|0|0|2|0|2|0|0|0|0|0|2|0|0|0|0
01100420|1|0|09|00|00|05|3|1|3|07|02|5|00|00|10|0|1|1|40|06|08|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|2|2|2|2|0|1
01100446|1|0|09|01|02|01|3|1|5|12|06|1|40|03|05|0|1|6|00|00|05|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|0|2|0|0|0|0
01100453|0|1|01|01|00|01|3|1|5|04|01|1|60|06|09|0|1|0|00|00|00|0|0|      |2|2|2|0|2|0|0|0|0|0|0|0|0|2|0|0|2|0|2|0|1
01100461|0|0|09|01|00|01|3|2|8|04|01|0|00|00|00|0|0|1|40|09|06|0|1|      |2|2|2|2|2|0|2|0|2|0|0|0|0|2|2|2|2|0|0|0|0
01100479|1|0|09|00|01|01|5|1|4|06|04|1|40|10|08|0|1|1|40|05|08|0|1|      |2|2|0|0|2|2|2|0|0|2|2|0|0|2|2|2|2|0|0|0|0
01100487|1|0|01|01|00|02|3|1|4|07|05|1|45|07|08|0|1|1|43|06|05|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|2|2|0|2|0|1
01100511|0|0|01|00|00|03|1|2|8|04|01|0|00|00|00|0|0|7|00|00|11|0|1|      |0|0|0|0|2|0|2|0|0|0|0|0|0|2|2|2|2|0|2|0|0
01100529|0|0|09|01|00|01|1|2|1|02|01|0|00|00|00|0|0|1|40|06|03|0|1|      |0|0|0|0|2|0|2|0|0|0|2|0|0|0|0|0|0|0|0|0|0
01100537|1|0|09|00|00|01|1|2|3|01|03|0|00|00|00|0|0|6|00|00|05|0|1|      |0|0|0|0|2|0|0|0|0|0|2|0|0|2|2|0|2|0|0|0|0
01100552|1|0|09|00|00|02|3|1|8|03|02|7|00|00|03|0|1|6|00|00|05|0|1|      |2|2|2|0|2|0|2|0|0|0|0|0|0|0|0|0|2|0|0|0|0
01100578|0|1|01|00|00|02|3|1|4|04|02|7|00|00|05|0|1|7|00|00|05|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01100586|1|1|01|00|00|02|3|1|4|04|02|7|00|00|05|0|1|7|00|00|05|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|0|2|2|2|2|0|2|0|0
01100602|1|0|01|00|02|03|4|2|5|10|03|1|60|07|09|0|1|1|45|04|08|0|1|      |2|2|0|0|2|0|2|0|2|0|2|0|2|2|2|2|2|0|0|0|0
01100610|1|1|01|00|00|02|3|1|5|07|05|1|45|06|05|0|1|2|20|08|09|0|1|      |2|2|2|2|2|2|2|2|2|2|0|0|0|2|2|2|2|0|0|0|1
01100628|0|1|01|00|01|03|3|1|5|04|04|0|00|00|00|0|0|1|43|06|09|0|1|      |2|2|1|2|2|0|2|0|2|2|0|0|0|1|2|0|2|0|1|0|1
01100644|0|1|01|01|00|02|3|1|8|04|02|7|00|00|03|0|1|1|35|05|05|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01100651|1|1|01|00|00|02|3|1|5|05|05|1|40|06|05|0|1|6|00|00|06|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01100669|1|0|09|00|00|02|3|1|4|03|03|1|99|08|09|0|1|2|20|05|06|0|1|      |2|2|0|2|2|2|0|0|2|2|2|0|0|2|2|0|2|0|2|0|0
01100677|1|0|01|00|01|03|3|1|7|07|02|1|45|07|08|0|1|1|40|06|05|0|1|      |2|2|0|2|2|0|0|2|2|0|2|0|2|2|2|0|2|0|0|0|0
01100693|0|0|09|00|01|02|3|1|3|03|01|1|40|03|04|0|1|0|00|00|00|0|0|      |2|2|0|2|2|0|0|0|0|2|2|0|0|0|0|0|2|0|0|0|0
01100701|1|1|01|01|00|03|3|1|6|07|05|1|50|08|11|0|1|2|20|08|10|0|1|      |2|2|2|2|2|2|2|0|2|0|2|0|0|2|2|2|2|2|0|0|1
01100719|1|1|01|00|00|02|4|1|5|10|02|1|40|08|10|0|1|1|40|08|10|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|2|2|2|2|2|0|2|0|1
01100727|0|0|09|00|00|01|4|2|4|03|04|5|00|00|10|0|1|1|37|06|09|0|1|      |2|2|0|2|2|0|2|2|2|0|2|0|0|2|2|2|2|0|0|0|0
01100735|1|1|01|01|01|02|3|1|6|08|02|1|40|06|05|0|1|1|40|06|03|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|0|2|2|2|2|0|2|0|0
01100743|0|0|01|00|00|01|3|1|8|08|02|7|00|00|05|0|1|6|00|00|02|0|1|      |0|0|0|0|2|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0
01100750|0|1|02|00|00|01|3|1|8|01|01|0|00|00|00|0|0|7|00|00|06|0|1|      |2|2|0|2|2|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0
01100792|1|0|01|01|00|02|3|1|1|06|04|1|40|02|07|0|1|1|40|06|08|0|1|      |2|2|0|0|2|0|2|0|2|0|0|0|2|2|2|0|2|0|2|0|1
01100800|1|1|01|00|01|03|3|1|5|06|04|1|50|02|05|0|1|2|10|07|06|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|0|2|0|2|0|0
01100818|1|1|01|00|00|03|3|1|5|09|04|1|50|10|10|0|1|2|08|08|10|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|0|2|0|2|0|1
01100826|1|0|01|00|01|02|3|1|6|05|03|0|00|00|00|0|0|1|40|08|11|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|2|2|2|0|2|0|2|0|0
01100859|1|1|01|01|00|02|3|1|8|03|02|2|30|10|08|0|1|1|35|05|03|0|1|      |2|2|0|2|2|2|2|2|0|0|2|0|0|0|0|0|2|0|0|0|0
01100867|0|0|01|00|00|01|3|2|8|01|01|0|00|00|00|0|0|7|00|00|03|0|1|      |0|0|0|0|2|0|2|0|0|2|2|0|0|0|0|0|2|0|0|0|0
01100875|1|0|01|00|01|03|3|1|3|11|04|1|40|07|06|0|1|2|30|09|08|0|1|      |2|2|2|0|2|0|2|2|2|2|2|0|2|2|2|0|2|2|2|0|1
01100883|1|0|02|00|00|02|1|2|5|03|01|0|00|00|00|0|0|7|00|00|05|0|1|      |0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|2|0|2|0|0
01100891|1|0|01|01|00|02|5|2|2|02|01|5|00|00|07|0|1|0|00|00|00|0|0|      |0|0|0|0|2|0|2|0|0|0|0|0|0|2|0|0|2|0|0|0|1
01100966|0|1|01|00|01|04|3|1|6|07|03|1|60|10|07|0|1|2|09|06|04|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|2|2|0|2|0|0
01101014|1|1|01|00|00|05|3|1|5|12|04|1|45|07|07|0|1|1|40|06|07|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|0|2|2|0|2|0|2|0|1
01101022|1|0|01|00|00|04|3|1|8|09|02|3|20|06|09|0|1|1|35|06|05|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|1
01101048|0|1|01|00|01|01|3|1|2|03|05|5|00|00|05|0|1|1|41|06|09|0|1|      |2|0|0|0|2|0|0|0|2|2|0|0|0|2|2|0|2|0|0|0|1
01101063|1|1|01|00|00|03|1|2|5|02|02|2|30|07|05|0|1|7|00|00|05|1|1|      |0|0|0|0|2|2|2|0|2|0|2|0|0|2|2|0|2|0|0|0|0
01101071|1|0|01|00|00|01|1|2|5|01|02|0|00|00|00|0|0|6|00|00|04|0|1|      |0|0|0|2|2|0|0|0|0|2|2|0|0|2|0|0|0|0|0|0|0
01101097|1|1|01|00|00|01|3|1|8|05|04|2|30|02|04|0|1|2|15|05|08|0|1|      |2|2|0|2|2|0|2|0|2|2|2|0|0|2|2|0|2|0|2|0|1
01101113|1|0|01|00|01|02|3|1|6|04|02|1|35|07|10|0|1|2|12|05|09|0|1|      |2|2|0|2|2|2|0|2|2|0|2|0|0|2|2|0|2|0|2|0|1
01101162|1|1|01|00|01|03|3|1|8|02|01|0|00|00|00|0|0|6|00|00|05|0|1|      |2|2|2|2|2|2|0|0|2|2|2|0|0|0|0|0|2|0|2|0|0
01101170|1|0|09|00|00|02|3|1|5|08|02|1|40|06|06|0|1|1|40|06|05|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|2|2|0|2|0|0
01101204|1|0|01|00|01|02|3|1|2|07|03|1|45|03|05|0|1|2|28|02|05|0|1|      |2|2|2|0|2|0|1|1|2|2|0|0|0|2|2|2|2|0|1|0|1
01101220|1|0|01|00|00|01|1|2|1|04|01|0|00|00|00|0|0|1|40|06|05|0|1|      |0|0|0|0|2|0|2|0|2|0|2|0|0|2|2|0|2|0|0|0|0
01101238|1|0|09|01|01|01|1|3|3|04|02|1|40|03|06|0|1|1|40|02|05|0|1|      |0|0|0|0|2|0|0|0|2|0|2|0|0|2|2|0|2|0|0|0|0
01101261|1|1|01|00|01|02|3|1|5|09|03|1|50|07|09|0|1|1|40|08|11|0|1|      |2|2|2|2|2|0|2|0|0|0|2|0|0|2|2|2|2|0|0|0|1
01101279|0|0|09|00|00|01|1|2|7|03|01|0|00|00|00|0|0|7|00|00|06|0|1|      |2|2|0|0|2|0|0|0|0|0|0|0|0|2|0|0|2|0|0|0|0
01101287|1|0|09|01|01|01|3|2|4|11|04|1|60|10|05|0|1|6|00|00|06|0|1|      |2|2|0|0|2|0|2|2|0|0|2|0|0|2|2|0|2|0|0|0|1
01101311|1|1|01|00|00|01|3|1|6|04|01|0|00|00|00|0|0|1|45|06|07|0|1|      |2|2|2|0|2|2|2|0|2|0|2|0|0|2|2|2|2|0|2|0|0
01101329|1|0|01|01|00|03|3|1|5|11|05|1|40|08|09|0|1|1|36|08|09|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|0|2|2|0|2|2|2|0|1
01101337|0|0|09|01|07|02|3|2|3|03|02|0|00|00|00|0|0|1|40|10|08|0|1|      |2|2|0|2|2|0|2|0|2|0|0|0|0|2|0|0|2|0|0|0|0
01101345|1|0|07|01|00|01|3|1|6|04|03|0|00|00|00|0|0|1|40|06|09|0|1|      |2|2|0|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|0|0|0
01101352|1|1|01|01|00|03|3|1|7|10|03|1|45|09|11|0|1|6|00|00|06|0|1|      |2|2|2|2|2|0|0|0|2|0|2|0|0|2|2|0|2|2|2|0|0
01101360|1|0|01|00|00|02|3|1|5|05|02|1|60|10|09|0|1|1|50|05|09|0|1|      |2|2|0|0|2|2|2|0|2|0|0|0|0|2|2|2|2|0|2|0|1
01101378|1|0|01|00|00|01|3|1|4|06|06|1|40|08|09|0|1|1|40|02|05|0|1|      |2|2|0|0|2|0|2|0|2|0|2|0|0|2|2|2|2|2|0|0|1
01101394|1|0|09|00|00|02|3|1|4|06|02|1|50|08|09|0|1|1|50|08|10|0|1|      |2|2|0|0|2|0|2|2|2|2|2|0|0|2|2|2|2|0|2|0|0
01101402|1|1|01|01|00|05|3|1|8|06|05|1|60|10|08|0|1|2|08|08|08|0|1|      |2|2|0|0|2|2|2|2|2|2|2|0|0|2|2|2|2|0|2|0|1
01101410|0|0|01|00|00|01|1|2|6|03|01|0|00|00|00|0|0|1|50|08|09|0|1|      |0|0|0|0|2|2|0|0|2|0|0|0|0|2|0|2|2|0|0|0|0
01101428|1|0|01|00|00|02|3|1|5|06|04|1|40|03|07|0|1|1|40|06|06|0|1|      |2|2|0|2|2|0|0|2|2|0|2|0|0|2|2|2|2|0|2|0|1
01101436|0|0|09|00|00|03|3|1|5|05|05|1|50|10|08|0|1|6|00|00|08|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|2|2|2|2|0|1
01101444|0|1|01|00|00|02|3|1|8|03|01|0|00|00|00|0|0|1|40|05|07|0|1|      |2|0|2|2|2|0|0|0|2|2|2|2|2|0|0|0|2|0|2|0|0
01101477|0|0|09|00|00|01|4|1|5|09|01|1|60|08|11|0|1|0|00|00|00|0|0|      |2|2|2|0|2|2|2|2|2|0|2|0|0|2|0|0|2|0|2|0|1
01101485|0|1|01|00|01|01|3|1|5|09|05|1|50|10|09|0|1|2|20|08|09|0|1|      |2|2|0|2|2|1|2|1|2|1|0|0|0|2|2|1|2|2|2|0|0
01101519|0|0|01|00|00|01|1|2|1|04|02|0|00|00|00|0|0|1|45|06|07|0|1|      |2|2|2|0|2|0|2|0|0|2|0|0|2|2|2|2|2|0|0|0|0
01101535|1|1|01|00|00|03|3|1|5|11|02|1|60|08|11|0|1|1|40|06|09|0|1|      |2|2|2|0|0|2|2|0|2|0|2|0|2|1|1|0|2|2|2|0|1
01101543|1|0|01|00|01|03|3|1|2|11|05|1|50|09|08|0|1|1|41|08|09|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|1
01101568|0|0|05|00|00|02|3|1|4|08|03|1|55|10|10|0|1|2|25|06|09|0|1|      |2|2|2|2|0|2|2|2|2|0|2|0|2|2|2|0|2|2|2|0|1
01101576|0|0|09|00|00|02|1|2|3|04|02|5|00|00|10|0|1|2|32|08|09|0|1|      |0|0|0|0|2|0|2|2|2|2|2|0|0|2|2|2|2|0|0|0|0
01101592|1|0|01|00|00|02|4|2|3|01|02|0|00|00|00|0|0|6|00|00|04|0|1|      |0|0|0|0|2|2|2|0|2|0|2|0|2|2|0|0|2|0|0|0|0
01101618|0|1|01|00|01|02|3|1|8|03|01|0|00|00|00|0|0|7|00|00|08|0|1|      |2|2|0|0|2|0|0|0|2|2|2|0|0|2|2|0|2|0|2|0|0
01101626|1|0|09|00|00|02|3|1|8|06|03|1|45|02|05|0|1|1|50|05|08|0|1|      |2|2|2|2|2|0|2|0|2|2|2|0|0|2|2|0|2|0|0|0|0
01101634|1|0|01|00|00|02|1|2|4|02|01|0|00|00|00|0|0|7|00|00|04|0|1|      |0|0|0|0|2|0|2|2|0|2|0|0|0|2|2|0|2|0|0|0|0
01101659|0|0|09|00|00|01|3|1|8|02|01|0|00|00|00|0|0|7|00|00|05|0|1|      |2|2|0|2|2|2|2|0|2|0|0|0|0|2|2|0|2|0|0|0|0
01101675|1|0|01|01|02|01|3|1|6|05|04|1|40|02|05|0|1|4|20|07|05|0|1|      |2|2|0|2|2|0|0|0|2|0|2|0|0|2|2|2|2|0|0|0|1
01101683|1|0|01|00|00|02|3|1|3|03|02|1|40|03|07|0|1|1|40|06|02|0|1|      |2|2|0|2|2|0|0|2|2|2|2|0|0|2|2|0|2|0|2|0|0
01101691|1|0|09|00|00|02|2|1|4|07|01|1|50|08|11|0|1|0|00|00|00|0|0|      |0|0|2|0|2|2|0|0|0|2|2|0|2|2|0|0|2|0|2|0|0
01101717|1|1|01|00|01|02|3|1|3|10|02|1|45|10|08|0|1|1|35|10|05|0|1|      |2|2|2|0|2|0|2|0|2|0|2|0|2|2|2|2|2|0|2|0|1
01101733|0|0|09|00|02|02|3|2|3|08|05|1|50|10|09|0|1|2|16|07|06|0|1|      |2|2|2|0|2|2|2|0|2|0|2|0|2|2|2|2|2|0|0|0|1
01101758|1|0|01|00|00|01|3|1|8|05|01|0|00|00|00|0|0|3|20|05|05|0|1|      |2|2|0|2|2|0|2|2|2|0|2|0|0|1|2|0|2|0|0|0|0
01101774|0|0|09|00|00|01|3|2|3|03|01|0|00|00|00|0|0|1|40|06|08|0|1|      |0|0|0|0|2|0|0|0|0|2|2|0|0|2|2|2|2|0|0|0|0
01101782|0|0|05|00|01|02|3|1|7|11|03|1|60|10|08|0|1|1|40|08|08|0|1|      |2|2|2|2|2|2|2|2|2|0|2|0|0|2|2|2|2|2|2|0|0
01101790|1|0|01|01|02|05|3|1|5|08|04|1|44|04|07|0|1|1|40|06|08|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|2|2|2|2|2|0|0|0|1
01101816|1|0|01|00|00|01|5|1|1|02|03|0|00|00|00|0|0|1|40|02|04|0|1|      |2|2|0|0|2|2|0|0|2|0|2|0|0|2|2|0|2|0|0|0|0
01101824|1|1|01|00|00|03|3|1|8|05|02|7|00|00|04|0|1|1|40|05|03|0|1|      |2|2|2|2|2|0|2|2|2|0|2|0|0|2|2|0|2|0|2|0|1
01101832|1|1|01|00|01|02|3|1|5|04|02|1|40|03|05|0|1|1|40|06|04|0|1|      |2|2|2|2|2|0|2|0|2|0|2|0|2|2|2|0|2|0|2|0|0
01101865|1|0|01|00|00|04|3|1|5|05|03|2|30|04|03|0|1|1|40|06|07|0|1|      |2|2|0|0|2|0|2|2|2|2|0|0|0|2|2|0|2|2|2|0|0
01101899|1|1|01|00|00|05|3|1|8|11|02|7|00|00|09|0|1|7|00|00|05|0|1|      |2|2|2|2|2|2|2|0|2|0|2|0|2|2|2|2|2|0|0|0|1
01101915|0|1|01|00|00|03|3|1|7|03|02|7|00|00|03|0|1|7|00|00|03|0|1|      |2|2|0|2|2|2|2|1|2|2|0|0|0|0|2|0|2|0|2|0|0
01101923|1|0|09|00|00|01|3|1|5|06|05|1|40|02|07|0|1|6|00|00|08|0|1|      |2|2|0|2|2|0|2|0|2|0|2|0|0|2|2|2|2|0|0|0|1
01101931|1|0|01|00|01|03|3|1|4|04|04|1|40|03|04|0|1|1|35|06|05|0|1|      |2|0|0|2|2|0|2|2|2|2|2|0|0|2|2|0|2|0|0|0|0
01101949|1|1|01|01|00|03|3|1|5|08|05|1|40|06|09|0|1|6|00|00|05|0|1|      |2|2|2|2|2|2|2|0|2|2|2|0|2|2|2|2|2|2|2|0|1
01101956|1|0|01|00|00|02|3|1|8|04|02|7|00|00|05|0|1|7|00|00|05|0|1|      |2|2|2|0|2|2|2|2|2|0|2|0|0|2|2|0|2|0|2|0|0
01101964|1|0|09|00|00|01|1|2|3|02|01|0|00|00|00|0|0|1|40|05|09|0|1|      |0|0|0|2|2|2|0|0|0|2|0|0|2|2|2|2|2|0|0|0|1
01101972|1|0|09|01|00|02|3|1|5|06|04|5|00|00|11|0|1|1|50|10|10|0|1|      |2|2|0|2|2|0|0|2|2|0|0|0|0|2|2|2|2|2|2|0|0
01101980|1|0|01|00|00|01|1|2|4|01|02|0|00|00|00|0|0|7|00|00|04|0|1|      |0|0|0|2|2|0|2|0|2|0|0|0|2|0|0|0|2|0|0|0|0
01101998|1|0|01|00|00|04|4|2|5|03|03|0|00|00|00|0|0|1|40|03|04|0|1|      |2|2|0|2|2|0|2|0|2|2|2|0|2|2|2|0|2|0|2|0|1
01102004|1|0|09|00|03|03|3|1|3|08|02|0|00|00|00|0|0|1|45|04|08|0|1|      |2|2|0|0|2|0|2|0|2|0|2|0|0|2|2|0|2|0|0|0|1
01102020|0|0|09|00|00|01|1|2|3|04|02|1|70|03|04|0|1|6|00|00|07|0|1|      |2|2|0|2|2|0|0|0|0|2|2|0|0|2|2|0|2|0|0|0|0
01102038|1|0|09|00|00|01|3|2|3|01|02|0|00|00|00|0|0|4|08|02|05|0|1|      |2|2|0|0|2|0|2|0|2|2|0|0|0|2|2|0|2|0|0|0|0
01102046|1|0|01|00|00|02|3|1|2|06|05|1|40|10|08|0|1|1|40|06|08|0|1|      |2|2|0|2|2|0|2|2|2|0|2|0|0|1|2|0|2|0|1|0|1
01102053|1|0|01|00|00|02|3|1|8|05|02|1|40|03|04|0|1|1|35|08|05|0|1|      |2|2|0|2|2|0|2|0|2|0|2|0|0|2|2|0|2|0|2|0|0
01102079|1|1|01|00|01|03|3|1|8|07|02|1|40|09|07|0|1|2|16|03|04|0|1|      |2|2|2|2|2|0|2|2|2|0|2|2|0|2|2|0|2|0|2|0|0
01102087|1|0|09|00|00|01|1|2|5|04|01|0|00|00|00|0|0|7|00|00|11|0|1|      |0|0|0|0|2|0|2|0|0|0|2|0|0|2|0|2|2|0|2|0|0
01102095|1|0|09|00|00|02|4|2|5|05|04|1|40|06|08|0|1|6|00|00|05|0|1|      |2|2|0|0|2|0|2|0|0|0|2|0|0|2|2|2|2|0|0|0|0
01102103|0|0|09|00|01|02|3|1|7|07|04|1|55|03|04|0|1|2|29|06|03|0|1|      |2|2|2|2|2|0|2|2|2|2|2|0|0|2|2|2|2|0|0|0|0
01102129|1|0|01|00|00|02|3|1|6|03|02|1|40|02|03|0|1|2|30|02|03|0|1|      |2|2|0|2|2|2|2|0|0|1|1|1|0|2|2|0|2|0|0|0|0
01102137|1|0|01|00|00|01|1|2|6|02|01|0|00|00|00|0|0|7|00|00|08|0|1|      |0|0|0|0|2|0|0|0|2|0|0|0|0|2|2|0|2|0|0|0|0
01102145|0|0|09|00|00|01|3|2|5|04|06|1|40|10|03|0|1|4|40|07|05|0|1|      |2|0|0|0|2|0|2|0|0|0|2|0|0|2|2|0|2|0|0|0|0
